页码,字符数,分析判断,需要图像
1,10,封面页,是
2,140,目录页,否
3,101,标题页,否
4,78,标题页,否
5,178,概念页,否
6,116,概念页,否
7,212,文字说明,否
8,81,可能有图,是
9,192,文字说明,否
10,149,文字说明,否
11,219,文字说明,否
12,155,文字说明,否
13,692,文字较多,否
14,358,文字较多,否
15,289,文字较少,可能有图
16,89,字符很少,是
17,28,字符极少,是
18,234,文字说明,否
19,117,字符较少,是
20,140,文字说明,否
21,123,字符较少,可能有图
22,24,字符极少,是
23,583,文字较多,否
24,237,文字说明,否
25,354,文字较多,否
26,174,文字说明,否
27,28,字符极少,是
28,188,文字说明,否
29,417,文字较多,否
30,162,文字说明,否
31,209,文字说明,否
32,97,字符较少,可能有图
33,185,文字说明,否
34,147,文字说明,否
35,28,字符极少,是
36,481,文字较多,否
37,227,文字说明,否
38,160,文字说明,否
39,112,字符较少,可能有图
40,28,字符极少,是
41,235,文字说明,否
42,139,文字说明,否
43,221,文字说明,否
44,191,文字说明,否
45,53,字符很少,是
46,232,文字说明,否
47,28,字符极少,是
48,400,文字较多,否
49,203,文字说明,否
50,213,文字说明,否
51,131,字符较少,可能有图
52,339,文字较多,否
53,218,文字说明,否
54,89,字符较少,可能有图
55,26,字符极少,是
56,83,字符很少,是
57,240,文字说明,否
58,178,文字说明,否
59,82,字符较少,可能有图
